CaseID,Activity,Timestamp,Resource
1,Υποβολή Παραγγελίας,2024-01-01 08:07:00,Πελάτης
1,Έλεγχος Πληρωμής,2024-01-01 08:18:00,Σύστημα
1,Συλλογή Προϊόντων,2024-01-02 01:18:00,Αποθηκάριος
1,Συσκευασία,2024-01-02 01:38:00,Αποθηκάριος
1,Αποστολή,2024-01-02 03:38:00,Courier
2,Υποβολή Παραγγελίας,2024-01-01 08:27:00,Πελάτης
2,Έλεγχος Πληρωμής,2024-01-01 08:40:00,Σύστημα
2,Συλλογή Προϊόντων,2024-01-01 23:40:00,Αποθηκάριος
2,Συσκευασία,2024-01-02 00:10:00,Αποθηκάριος
2,Αποστολή,2024-01-02 04:10:00,Courier
3,Υποβολή Παραγγελίας,2024-01-01 08:26:00,Πελάτης
3,Έλεγχος Πληρωμής,2024-01-01 08:33:00,Σύστημα
3,Συλλογή Προϊόντων,2024-01-02 04:33:00,Αποθηκάριος
3,Συσκευασία,2024-01-02 04:57:00,Αποθηκάριος
3,Αποστολή,2024-01-02 05:57:00,Courier
4,Υποβολή Παραγγελίας,2024-01-01 08:37:00,Πελάτης
4,Έλεγχος Πληρωμής,2024-01-01 08:42:00,Σύστημα
4,Συλλογή Προϊόντων,2024-01-01 12:42:00,Αποθηκάριος
4,Συσκευασία,2024-01-01 12:53:00,Αποθηκάριος
4,Αποστολή,2024-01-01 16:53:00,Courier
5,Υποβολή Παραγγελίας,2024-01-01 08:59:00,Πελάτης
5,Έλεγχος Πληρωμής,2024-01-01 09:10:00,Σύστημα
5,Ακύρωση Παραγγελίας,2024-01-01 09:54:00,Σύστημα
6,Υποβολή Παραγγελίας,2024-01-01 09:50:00,Πελάτης
6,Έλεγχος Πληρωμής,2024-01-01 10:00:00,Σύστημα
6,Συλλογή Προϊόντων,2024-01-02 08:00:00,Αποθηκάριος
6,Συσκευασία,2024-01-02 08:26:00,Αποθηκάριος
6,Αποστολή,2024-01-02 13:26:00,Courier
7,Υποβολή Παραγγελίας,2024-01-01 09:55:00,Πελάτης
7,Έλεγχος Πληρωμής,2024-01-01 10:08:00,Σύστημα
7,Ακύρωση Παραγγελίας,2024-01-01 10:59:00,Σύστημα
8,Υποβολή Παραγγελίας,2024-01-01 09:47:00,Πελάτης
8,Έλεγχος Πληρωμής,2024-01-01 09:50:00,Σύστημα
8,Συλλογή Προϊόντων,2024-01-01 11:50:00,Αποθηκάριος
8,Συσκευασία,2024-01-01 12:03:00,Αποθηκάριος
8,Αποστολή,2024-01-01 15:03:00,Courier
9,Υποβολή Παραγγελίας,2024-01-01 09:56:00,Πελάτης
9,Έλεγχος Πληρωμής,2024-01-01 10:09:00,Σύστημα
9,Συλλογή Προϊόντων,2024-01-02 00:09:00,Αποθηκάριος
9,Συσκευασία,2024-01-02 00:23:00,Αποθηκάριος
9,Αποστολή,2024-01-02 05:23:00,Courier
10,Υποβολή Παραγγελίας,2024-01-01 10:42:00,Πελάτης
10,Έλεγχος Πληρωμής,2024-01-01 10:43:00,Σύστημα
10,Συλλογή Προϊόντων,2024-01-02 09:43:00,Αποθηκάριος
10,Συσκευασία,2024-01-02 10:07:00,Αποθηκάριος
10,Διόρθωση Συσκευασίας,2024-01-02 11:07:00,Επόπτης
10,Συσκευασία,2024-01-02 11:15:00,Αποθηκάριος
10,Αποστολή,2024-01-02 12:15:00,Courier
11,Υποβολή Παραγγελίας,2024-01-01 10:21:00,Πελάτης
11,Έλεγχος Πληρωμής,2024-01-01 10:24:00,Σύστημα
11,Συλλογή Προϊόντων,2024-01-02 03:24:00,Αποθηκάριος
11,Συσκευασία,2024-01-02 03:39:00,Αποθηκάριος
11,Αποστολή,2024-01-02 06:39:00,Courier
12,Υποβολή Παραγγελίας,2024-01-01 10:48:00,Πελάτης
12,Έλεγχος Πληρωμής,2024-01-01 11:03:00,Σύστημα
12,Συλλογή Προϊόντων,2024-01-02 08:03:00,Αποθηκάριος
12,Συσκευασία,2024-01-02 08:13:00,Αποθηκάριος
12,Αποστολή,2024-01-02 12:13:00,Courier
13,Υποβολή Παραγγελίας,2024-01-01 10:47:00,Πελάτης
13,Έλεγχος Πληρωμής,2024-01-01 10:57:00,Σύστημα
13,Ακύρωση Παραγγελίας,2024-01-01 11:16:00,Σύστημα
